id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
q-E_xjVrRDPHN-DKcV00ZQ,grizzly-turf-orange-4,Grizzly Turf,https://s3-media3.fl.yelpcdn.com/bphoto/TMrO1caNbsmpm2F7OZmLRw/o.jpg,False,https://www.yelp.com/biz/grizzly-turf-orange-4?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,360,"[{'alias': 'landscaping', 'title': 'Landscaping'}, {'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.8186385, 'longitude': -117.8282121}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Orange', 'zip_code': '92867', 'country': 'US', 'state': 'CA', 'display_address': ['Orange, CA 92867']}",+18662378873,(866) 237-8873,22814.521408270204,
6bBOsjaNvpON6EMjUEsVAQ,tough-turf-artesia-6,Tough Turf,https://s3-media2.fl.yelpcdn.com/bphoto/64FfNqxQaOcO3KZ2iKb2JQ/o.jpg,False,https://www.yelp.com/biz/tough-turf-artesia-6?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,37,"[{'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.865012, 'longitude': -118.090254}",[],"{'address1': '18300 Gridley Rd', 'address2': None, 'address3': '', 'city': 'Artesia', 'zip_code': '90701', 'country': 'US', 'state': 'CA', 'display_address': ['18300 Gridley Rd', 'Artesia, CA 90701']}",+17143428873,(714) 342-8873,1993.4674097972224,
1nSAoM71JOhjo8b4KxatKg,elite-artificial-grass-brea,Elite Artificial Grass,https://s3-media4.fl.yelpcdn.com/bphoto/XDO-8fLkzEDcesz0ELx16w/o.jpg,False,https://www.yelp.com/biz/elite-artificial-grass-brea?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,201,"[{'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.92516580487358, 'longitude': -117.9006872}",[],"{'address1': '411 W Lambert Rd', 'address2': 'Ste 406', 'address3': '', 'city': 'Brea', 'zip_code': '92821', 'country': 'US', 'state': 'CA', 'display_address': ['411 W Lambert Rd', 'Ste 406', 'Brea, CA 92821']}",+17143320271,(714) 332-0271,16863.903785193437,
2MU8A6VD3JWE4C0UevbpsA,mc-landscaping-lakewood-2,MC Landscaping,https://s3-media4.fl.yelpcdn.com/bphoto/BpINngtFl3mOF8w0QYccAg/o.jpg,False,https://www.yelp.com/biz/mc-landscaping-lakewood-2?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,126,"[{'alias': 'landscaping', 'title': 'Landscaping'}, {'alias': 'landscapearchitects', 'title': 'Landscape Architects'}, {'alias': 'irrigation', 'title': 'Irrigation'}]",4.5,"{'latitude': 33.85918742798152, 'longitude': -118.11915900000001}",[],"{'address1': '5780 S St', 'address2': None, 'address3': '', 'city': 'Lakewood', 'zip_code': '90713', 'country': 'US', 'state': 'CA', 'display_address': ['5780 S St', 'Lakewood, CA 90713']}",+15622259460,(562) 225-9460,4713.074253020149,
RtBCoWrbtjA6Kq6sQqFqUQ,always-green-turf-los-alamitos,Always Green Turf,https://s3-media4.fl.yelpcdn.com/bphoto/hY_eGI6CgjiSloX_oZOnqw/o.jpg,False,https://www.yelp.com/biz/always-green-turf-los-alamitos?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,55,"[{'alias': 'landscaping', 'title': 'Landscaping'}, {'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.808837216795375, 'longitude': -118.05819859072163}",[],"{'address1': '10611 Calle Lee D-129', 'address2': None, 'address3': '', 'city': 'Los Alamitos', 'zip_code': '90720', 'country': 'US', 'state': 'CA', 'display_address': ['10611 Calle Lee D-129', 'Los Alamitos, CA 90720']}",+17145877700,(714) 587-7700,6381.203603177164,
dFv5H1YSUyRhHDyI7ZNMNg,green-forever-fullerton-3,Green Forever,https://s3-media3.fl.yelpcdn.com/bphoto/C_OwS32bW6iP1NipSPxWYA/o.jpg,False,https://www.yelp.com/biz/green-forever-fullerton-3?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,125,"[{'alias': 'landscaping', 'title': 'Landscaping'}, {'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.8712828, 'longitude': -117.9236508}",[],"{'address1': '112 E Amerige Ave', 'address2': 'Ste 330', 'address3': '', 'city': 'Fullerton ', 'zip_code': '92832', 'country': 'US', 'state': 'CA', 'display_address': ['112 E Amerige Ave', 'Ste 330', 'Fullerton , CA 92832']}",+18338873669,(833) 887-3669,13406.650686583018,
QiIemIhkLEb1tu4F9yNgkQ,always-green-synthetic-grass-garden-grove-4,Always Green Synthetic Grass,https://s3-media1.fl.yelpcdn.com/bphoto/bvXLpnsWSRPum0yREVywlA/o.jpg,False,https://www.yelp.com/biz/always-green-synthetic-grass-garden-grove-4?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,137,"[{'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.6603429548963, 'longitude': -117.908446582382}",[],"{'address1': '12832 Valley View St', 'address2': 'Ste E', 'address3': '', 'city': 'Garden Grove', 'zip_code': '92845', 'country': 'US', 'state': 'CA', 'display_address': ['12832 Valley View St', 'Ste E', 'Garden Grove, CA 92845']}",+18889348873,(888) 934-8873,27205.585361306352,
mvrDxSUe49bI1enoYZKJrw,sprinklers-and-turf-anaheim,Sprinklers and Turf,https://s3-media2.fl.yelpcdn.com/bphoto/YjQImNmLdLfsdstYXuBZcA/o.jpg,False,https://www.yelp.com/biz/sprinklers-and-turf-anaheim?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,39,"[{'alias': 'landscaping', 'title': 'Landscaping'}, {'alias': 'irrigation', 'title': 'Irrigation'}, {'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.84132, 'longitude': -117.93735}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Anaheim', 'zip_code': '92803', 'country': 'US', 'state': 'CA', 'display_address': ['Anaheim, CA 92803']}",+17143487160,(714) 348-7160,12418.927047584883,
55HBi_P-3gHyPMfUffGq0A,greenfield-synthetic-grass-long-beach,Greenfield Synthetic Grass,https://s3-media4.fl.yelpcdn.com/bphoto/NH06V0IF38WDoqLWPyARHQ/o.jpg,False,https://www.yelp.com/biz/greenfield-synthetic-grass-long-beach?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,20,"[{'alias': 'artificialturf', 'title': 'Artificial Turf'}]",5.0,"{'latitude': 33.7607, 'longitude': -118.13966}",[],"{'address1': '159 Roycroft Ave', 'address2': 'Ste 4', 'address3': None, 'city': 'Long Beach', 'zip_code': '90803', 'country': 'US', 'state': 'CA', 'display_address': ['159 Roycroft Ave', 'Ste 4', 'Long Beach, CA 90803']}",+15623108533,(562) 310-8533,13377.407998955032,
4450mmGVPncVqkHRbCLLlA,castillo-landscaping-long-beach,Castillo Landscaping,https://s3-media4.fl.yelpcdn.com/bphoto/kTT4zIHxNwObyFz2ttYv-g/o.jpg,False,https://www.yelp.com/biz/castillo-landscaping-long-beach?adjust_creative=tVgW1QGCxt2Ph7c4FHGJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tVgW1QGCxt2Ph7c4FHGJuQ,44,"[{'alias': 'landscaping', 'title': 'Landscaping'}, {'alias': 'masonry_concrete', 'title': 'Masonry/Concrete'}, {'alias': 'artificialturf', 'title': 'Artificial Turf'}]",4.5,"{'latitude': 33.79628, 'longitude': -118.19146}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Long Beach', 'zip_code': '90806', 'country': 'US', 'state': 'CA', 'display_address': ['Long Beach, CA 90806']}",+15622301605,(562) 230-1605,13086.5676781768,
